Round,HAP 0,HAP 1,HAP 2,HAP 3,HAP 4
0,0.4733000099658966,0.6456000208854675,0.6395000219345093,0.6650000214576721,0.5446000099182129
1,0.559499979019165,0.8927000164985657,0.88919997215271,0.9052000045776367,0.5619999766349792
2,0.34200000762939453,0.9045000076293945,0.9035000205039978,0.8622000217437744,0.33500000834465027
3,0.6976000070571899,0.8845999836921692,0.8777999877929688,0.8702999949455261,0.6984999775886536
4,0.7627000212669373,0.9276999831199646,0.9287999868392944,0.9322999715805054,0.7541999816894531
5,0.8458999991416931,0.9039000272750854,0.9027000069618225,0.8912000060081482,0.8529000282287598
6,0.9101999998092651,0.9501000046730042,0.9490000009536743,0.9502999782562256,0.909500002861023
7,0.9168000221252441,0.9631999731063843,0.9661999940872192,0.954200029373169,0.9049000144004822
8,0.9380999803543091,0.9631999731063843,0.9628999829292297,0.9595000147819519,0.9456999897956848
9,0.9020000100135803,0.9725000262260437,0.9732000231742859,0.9736999869346619,0.9243000149726868
