Round,HAP 0,HAP 1,HAP 2,HAP 3,HAP 4
0,0.6660333275794983,0.5479666590690613,0.5017666816711426,0.8717666864395142,0.646133303642273
1,0.5285500288009644,0.6962500214576721,0.6720666885375977,0.7983166575431824,0.720300018787384
2,0.6478333473205566,0.8097166419029236,0.7032833099365234,0.8840000033378601,0.7774666547775269
3,0.7716000080108643,0.8716999888420105,0.7111999988555908,0.8200333118438721,0.8922666907310486
4,0.8427000045776367,0.9052333235740662,0.8540499806404114,0.9285833239555359,0.8515166640281677
5,0.8859166502952576,0.9316499829292297,0.8856333494186401,0.9329500198364258,0.9010499715805054
6,0.838949978351593,0.9080666899681091,0.9330999851226807,0.9206666946411133,0.8833833336830139
7,0.8589000105857849,0.885866641998291,0.9436166882514954,0.9807999730110168,0.9450166821479797
8,0.9780333042144775,0.7758333086967468,0.9496333599090576,0.9795666933059692,0.9706666469573975
9,0.9818999767303467,0.9265333414077759,0.9836333394050598,0.9747499823570251,0.970633327960968
10,0.9850000143051147,0.9824000000953674,0.9446499943733215,0.9734500050544739,0.9743333458900452
11,0.9866833090782166,0.9830666780471802,0.9671499729156494,0.9867500066757202,0.9649333357810974
12,0.9767500162124634,0.9819999933242798,0.9776833057403564,0.9860166907310486,0.9722499847412109
13,0.933733344078064,0.9882500171661377,0.9868333339691162,0.9887166619300842,0.9853000044822693
14,0.9787333607673645,0.9653333425521851,0.9955666661262512,0.995283305644989,0.9845333099365234
15,0.9969666600227356,0.9726166725158691,0.9966166615486145,0.9619333148002625,0.9661499857902527
16,0.999833345413208,0.9809499979019165,0.9998000264167786,0.9611666798591614,0.9933666586875916
17,0.9999499917030334,0.9810500144958496,0.9699166417121887,0.9753333330154419,0.9966833591461182
18,0.9534000158309937,0.9862666726112366,0.9469166398048401,0.9830833077430725,0.9861500263214111
19,0.9620166420936584,0.9598333239555359,0.9771833419799805,0.9961000084877014,0.9742500185966492
20,0.9908999800682068,0.9883333444595337,0.9751166701316833,0.9806833267211914,0.954633355140686
21,0.9988166689872742,0.9748333096504211,0.997866690158844,0.9925666451454163,0.941516637802124
22,0.9998499751091003,0.9981499910354614,0.9997333288192749,0.9920833110809326,0.973883330821991
23,0.9998000264167786,0.9304999709129333,0.9999666810035706,0.984749972820282,0.9991000294685364
24,0.9994666576385498,0.9871333241462708,0.9954166412353516,0.9926666617393494,0.9927166700363159
25,0.9849333167076111,0.9970666766166687,0.9748166799545288,0.9928333163261414,0.9566166400909424
26,0.9908833503723145,1.0,0.9742333292961121,0.9834666848182678,0.9917833209037781
27,0.9874333143234253,0.9865999817848206,0.9967166781425476,0.9976833462715149,0.9955666661262512
28,0.9986833333969116,0.8648666739463806,0.996999979019165,0.9988499879837036,0.9832000136375427
29,1.0,0.9285833239555359,0.9998999834060669,0.994949996471405,0.9724666476249695
